Id,OverallQual,ExterQual,TotalBsmtSF,GrLivArea
1461,5,3,882,896
1462,6,3,1329,1329
1463,5,3,928,1629
1464,6,3,926,1604
1465,8,4,1280,1280
1466,6,3,763,1655
1467,6,3,1168,1187
1468,6,3,789,1465
1469,7,3,1300,1341
1470,4,3,882,882
1471,7,4,1405,1337
1472,6,3,483,987
1473,5,3,525,1092
1474,6,3,855,1456
1475,7,3,836,836
1476,9,5,1590,2334
1477,8,4,1544,1544
1478,9,4,1698,1698
1479,8,4,1822,1822
1480,9,5,2846,2696
1481,8,4,1671,2250
1482,8,4,1370,1370
1483,6,4,1324,1324
1484,7,4,1145,1145
1485,7,4,384,1374
1486,7,4,847,1733
1487,8,4,1629,2475
1488,8,4,1595,1595
1489,7,4,1218,1218
1490,6,4,1468,1468
1491,7,4,831,1659
1492,5,3,816,1012
1493,6,3,1208,1494
1494,8,4,1231,2349
1495,8,4,1390,2225
1496,7,4,1488,1488
1497,7,4,840,1680
1498,7,4,600,1200
1499,7,4,600,1200
1500,6,4,600,1236
1501,6,4,756,1512
1502,7,4,530,1080
1503,8,4,1642,1418
1504,8,4,975,1848
1505,7,4,1492,1492
1506,6,3,1829,1829
1507,6,3,1280,2495
1508,6,3,1224,1891
1509,6,3,715,1645
1510,5,3,1232,1232
1511,5,3,1209,1209
1512,5,3,1510,1510
1513,6,3,533,1775
1514,5,3,1728,1728
1515,5,4,1140,2461
1516,6,3,782,1556
1517,6,3,1080,1128
1518,5,3,1604,1604
1519,7,4,1480,1480
1520,5,3,1143,1143
1521,5,3,1206,1206
1522,6,3,1244,1580
1523,4,3,832,1337
1524,5,3,864,1064
1525,5,3,972,972
1526,5,3,988,988
1527,4,3,576,985
1528,6,3,816,1224
1529,5,3,1175,1175
1530,6,3,1395,1395
1531,4,3,709,1844
1532,5,3,936,936
1533,5,3,1347,1347
1534,6,3,827,1251
1535,5,3,1027,1633
1536,5,3,1008,1245
1537,2,3,678,832
1538,8,4,930,1566
1539,8,4,346,2268
1540,5,3,840,2256
1541,6,3,738,1470
1542,5,3,988,1612
1543,7,3,1108,2068
1544,4,3,765,765
1545,6,3,608,1132
1546,6,3,572,1196
1547,5,3,835,1453
1548,6,3,780,1416
1549,5,3,528,1040
1550,5,3,928,1536
1551,6,3,1124,1068
1552,4,3,888,1962
1553,6,4,780,1560
1554,6,3,662,1324
1555,5,3,1422,1675
1556,5,3,689,1224
1557,5,2,1212,1392
1558,6,3,600,919
1559,4,3,707,1884
1560,5,3,856,1680
1561,4,2,1832,1832
1562,5,3,864,892
1563,5,3,864,864
1564,5,3,1319,1373
1565,5,3,720,1440
1566,7,4,1420,1483
1567,4,3,660,756
1568,6,3,1117,1981
1569,3,3,972,1610
1570,6,3,663,1074
1571,4,3,756,1531
1572,5,3,1172,1172
1573,7,4,1508,1508
1574,5,3,1250,1298
1575,7,4,1433,1433
1576,6,4,946,1802
1577,7,4,1222,1222
1578,6,3,676,1445
1579,5,3,870,965
1580,7,3,878,1692
1581,5,4,1026,1026
1582,5,3,876,876
1583,8,4,1978,1978
1584,7,4,1040,2098
1585,6,4,848,848
1586,3,3,0,640
1587,5,3,381,992
1588,5,3,1196,1196
1589,4,3,744,1120
1590,6,3,1008,1096
1591,4,3,960,960
1592,5,3,1107,1296
1593,6,3,856,856
1594,4,3,0,2650
1595,5,3,894,1666
1596,7,4,1528,2133
1597,5,3,1032,2177
1598,7,3,423,1652
1599,8,4,982,1034
1600,8,4,1191,1191
1601,2,3,480,540
1602,6,3,629,1107
1603,4,2,756,952
1604,8,4,1594,1646
1605,8,4,1049,1916
1606,6,3,1243,1285
1607,6,3,1958,2048
1608,7,4,1336,1346
1609,7,4,1214,1214
1610,5,3,384,1444
1611,5,3,1068,1264
1612,5,3,1430,1430
1613,5,3,1344,1344
1614,5,3,945,945
1615,4,3,546,1092
1616,4,3,546,1092
1617,4,3,546,1092
1618,5,3,864,874
1619,5,3,833,833
1620,5,3,1216,2432
1621,5,3,624,1274
1622,5,3,864,1479
1623,8,4,1679,1803
1624,6,4,1152,1797
1625,6,3,882,882
1626,6,3,1434,1434
1627,6,3,945,1608
1628,8,4,1008,2283
1629,7,3,384,1628
1630,8,4,2208,2522
1631,8,3,1418,1478
1632,8,4,1587,1734
1633,7,4,384,1382
1634,6,4,952,1636
1635,6,3,707,1516
1636,6,3,1181,1190
1637,5,3,1122,1934
1638,7,3,832,2050
1639,6,3,1427,1671
1640,7,3,1043,2673
1641,6,3,1140,1707
1642,7,4,926,1884
1643,8,4,1058,1874
1644,8,4,972,1811
1645,5,3,1621,1621
1646,6,3,1116,1116
1647,7,3,1176,1193
1648,5,3,1180,1180
1649,5,3,1043,1050
1650,4,3,864,864
1651,4,3,864,864
1652,6,3,483,987
1653,6,3,483,987
1654,6,3,804,1548
1655,7,3,1057,1055
1656,6,3,855,1456
1657,6,3,804,1548
1658,6,4,855,1456
1659,7,3,836,836
1660,5,4,864,1120
1661,9,5,1776,2772
1662,9,4,1365,2690
1663,9,5,2020,2020
1664,10,5,2630,2674
1665,9,5,1736,1736
1666,8,4,1782,1782
1667,8,4,1508,2520
1668,9,5,1739,1743
1669,9,4,1504,1531
1670,9,5,1774,1808
1671,7,4,1760,1760
1672,9,4,2452,2452
1673,8,4,1082,2400
1674,8,4,1598,1606
1675,6,4,1358,1358
1676,6,4,1306,1306
1677,7,4,1350,1358
1678,10,5,2492,2492
1679,8,4,2200,2200
1680,9,5,1884,1884
1681,9,5,1451,1456
1682,8,4,1712,1712
1683,7,4,1405,1405
1684,7,4,728,1456
1685,6,4,745,1490
1686,7,4,1220,1220
1687,7,4,384,1374
1688,7,4,868,1630
1689,7,4,846,1594
1690,7,4,782,1489
1691,7,4,698,1342
1692,8,4,870,2004
1693,7,4,384,1374
1694,6,3,794,1514
1695,7,3,384,1430
1696,7,4,1177,2312
1697,7,3,384,1430
1698,8,4,1455,2687
1699,8,4,2024,2063
1700,7,4,1070,2061
1701,8,4,1173,2232
1702,8,4,1696,1696
1703,8,4,1614,1658
1704,8,4,1702,1702
1705,8,4,1422,1432
1706,9,5,2458,2490
1707,7,4,1436,1436
1708,7,4,1402,1402
1709,9,4,1530,1530
1710,8,4,1372,1448
1711,8,4,900,1795
1712,8,4,1836,1836
1713,7,4,1652,1662
1714,7,4,1553,1553
1715,7,4,812,1653
1716,7,4,1218,1218
1717,7,4,1141,1141
1718,6,3,1158,1158
1719,7,4,835,1812
1720,8,4,1512,1512
1721,7,4,1114,1114
1722,5,3,1114,1114
1723,5,3,1114,1114
1724,7,4,1450,1450
1725,7,4,913,2122
1726,6,4,816,1730
1727,6,4,1332,1332
1728,7,4,754,1540
1729,6,3,676,1400
1730,6,3,0,1882
1731,5,3,980,980
1732,5,3,864,864
1733,5,3,864,864
1734,5,3,1024,1020
1735,5,4,912,912
1736,5,3,912,912
1737,8,4,2014,2014
1738,7,4,975,1755
1739,7,4,1376,3005
1740,6,4,1726,1726
1741,6,4,1145,1256
1742,6,4,756,1512
1743,7,4,691,1452
1744,8,5,1694,1694
1745,7,4,1740,1740
1746,8,4,392,2499
1747,7,3,752,2067
1748,6,3,932,2640
1749,5,3,1288,1336
1750,6,3,1216,1216
1751,7,3,908,2288
1752,5,3,864,864
1753,5,3,1568,1568
1754,7,3,1165,2061
1755,6,3,1232,1320
1756,4,3,894,894
1757,5,3,864,864
1758,4,3,1040,1362
1759,5,3,1048,1728
1760,5,3,1313,1313
1761,5,3,1292,1292
1762,5,3,744,2140
1763,6,3,1208,1576
1764,5,3,960,960
1765,6,4,1680,1691
1766,6,3,1453,1453
1767,6,3,1562,1567
1768,5,4,1169,1144
1769,7,3,1329,1329
1770,6,4,988,988
1771,5,3,1202,1202
1772,5,3,1382,1382
1773,4,3,1200,1200
1774,5,3,1866,1866
1775,6,3,1062,1062
1776,5,3,631,1112
1777,5,3,793,793
1778,5,4,1031,1031
1779,5,3,0,1210
1780,7,3,699,1527
1781,5,3,1200,1200
1782,3,3,792,792
1783,5,3,676,1352
1784,4,4,405,1039
1785,5,3,1054,1078
1786,4,3,1313,2377
1787,7,4,560,1690
1788,2,2,416,599
1789,5,3,720,846
1790,3,3,630,725
1791,6,3,1248,2544
1792,6,3,1380,1380
1793,6,2,1040,1040
1794,6,4,951,951
1795,6,3,1105,1105
1796,6,3,160,1142
1797,6,3,795,1133
1798,5,3,1041,1041
1799,5,3,732,732
1800,5,3,528,1183
1801,4,3,832,1461
1802,6,3,864,1495
1803,6,3,780,1806
1804,5,3,941,941
1805,6,3,1045,1045
1806,6,3,901,1378
1807,6,3,972,1944
1808,5,3,240,1306
1809,5,4,504,1464
1810,5,3,690,1558
1811,4,2,600,1701
1812,5,3,801,1447
1813,5,3,768,1328
1814,4,3,861,861
1815,2,3,0,612
1816,5,4,624,792
1817,4,4,677,1510
1818,6,3,917,2007
1819,6,3,624,1288
1820,4,3,624,816
1821,6,2,972,1480
1822,6,3,741,1521
1823,3,3,245,797
1824,6,3,1022,1432
1825,5,3,297,1654
1826,5,3,468,1142
1827,5,3,960,995
1828,5,3,952,1582
1829,5,3,1072,1072
1830,6,3,1048,1768
1831,7,3,672,1944
1832,5,3,1040,2128
1833,6,3,720,1930
1834,6,3,483,1427
1835,7,3,1020,1864
1836,6,3,1204,1666
1837,4,3,858,892
1838,6,3,698,1403
1839,4,3,560,704
1840,5,3,1200,1200
1841,5,3,1152,1152
1842,5,3,585,1112
1843,5,3,1052,1052
1844,6,3,456,1034
1845,5,3,552,1774
1846,6,3,1138,1138
1847,5,3,825,2071
1848,2,3,0,660
1849,4,3,0,1383
1850,5,3,1073,1073
1851,6,3,747,1639
1852,5,3,1089,1089
1853,5,4,1049,1049
1854,7,4,1054,1061
1855,6,4,520,1338
1856,7,4,1079,1879
1857,5,4,0,2016
1858,5,3,0,2228
1859,5,3,0,1535
1860,5,3,1094,1229
1861,5,3,0,1513
1862,7,3,1168,2787
1863,7,3,1168,2787
1864,7,3,1168,2787
1865,9,5,1555,1680
1866,9,5,1720,1720
1867,8,4,1468,1468
1868,8,4,1838,1838
1869,7,4,1282,1290
1870,8,4,1254,1254
1871,8,4,1498,1498
1872,6,4,704,1422
1873,7,4,1449,1759
1874,5,3,990,990
1875,7,3,1463,1463
1876,6,3,928,1772
1877,7,4,1431,1444
1878,7,4,1492,1492
1879,5,3,907,907
1880,5,3,914,914
1881,7,4,1569,1611
1882,8,4,1068,2184
1883,7,4,840,1725
1884,7,4,944,1870
1885,8,4,1462,1513
1886,8,4,1822,1828
1887,7,4,1417,1417
1888,8,4,1578,1602
1889,6,4,608,1396
1890,4,3,1014,1149
1891,6,3,547,1072
1892,4,3,876,876
1893,5,3,1078,1368
1894,5,3,1678,1678
1895,5,3,1150,1560
1896,5,3,720,1298
1897,5,3,832,1268
1898,6,3,583,1242
1899,6,4,816,1232
1900,7,3,600,1228
1901,5,3,840,1567
1902,5,3,1273,1273
1903,7,3,920,2480
1904,5,3,1112,1112
1905,6,3,1561,1561
1906,5,3,1067,1523
1907,6,3,1310,1906
1908,6,3,516,1032
1909,6,3,561,1229
1910,6,3,561,1229
1911,6,3,572,1982
1912,7,4,1803,2365
1913,5,3,760,2168
1914,4,3,572,572
1915,8,5,1596,1648
1916,2,2,0,810
1917,8,4,1107,2052
1918,6,3,902,926
1919,6,3,957,1287
1920,5,3,1582,1595
1921,9,5,2190,2036
1922,9,5,1641,1641
1923,6,3,712,2237
1924,7,3,1645,1479
1925,7,4,912,2014
1926,9,5,1978,1978
1927,5,3,1008,1008
1928,5,3,1188,1404
1929,5,3,796,796
1930,6,3,384,1091
1931,5,3,828,883
1932,5,3,624,1287
1933,5,4,784,1632
1934,6,3,926,1604
1935,6,3,680,1470
1936,6,3,926,1604
1937,6,3,916,1636
1938,5,4,1348,1384
1939,8,4,1664,1682
1940,8,4,1280,1280
1941,6,3,932,1633
1942,6,3,836,1709
1943,8,4,1337,1337
1944,8,4,1168,2500
1945,9,5,1884,1884
1946,6,3,1632,1474
1947,9,5,1710,1710
1948,6,3,1488,1488
1949,7,4,1675,1688
1950,7,4,1260,1260
1951,7,4,2048,2064
1952,7,4,1782,1782
1953,6,3,1211,1211
1954,7,3,738,2044
1955,5,3,720,1308
1956,7,4,1420,2840
1957,6,3,1444,1444
1958,8,4,1236,2340
1959,5,3,896,1792
1960,4,3,936,936
1961,5,3,864,864
1962,6,3,483,987
1963,6,3,483,987
1964,5,3,630,1302
1965,6,3,855,1456
1966,7,3,1055,1055
1967,8,4,1582,1582
1968,8,4,2418,2464
1969,9,5,1950,1950
1970,9,4,1850,2748
1971,10,5,1620,2790
1972,9,4,1414,2331
1973,8,5,948,2088
1974,8,4,1148,2332
1975,10,5,2535,2470
1976,8,4,1603,1575
1977,8,4,1479,2649
1978,8,4,1765,2690
1979,9,5,1858,1866
1980,7,4,1367,1367
1981,9,5,1800,1800
1982,8,4,1342,1342
1983,8,4,1342,1342
1984,7,4,764,1626
1985,7,4,1415,1455
1986,7,4,1393,1576
1987,7,4,1146,1246
1988,6,4,789,1515
1989,7,4,840,1720
1990,7,4,847,1986
1991,7,4,1350,1358
1992,7,4,982,1892
1993,7,4,707,1414
1994,7,4,1037,2322
1995,7,3,831,1651
1996,8,4,1173,2199
1997,9,4,1519,2172
1998,8,4,1982,2006
1999,7,4,1064,2125
2000,8,4,1242,2501
2001,7,4,1080,2197
2002,7,4,1578,1578
2003,8,4,1341,1861
2004,8,4,955,1874
2005,8,4,1460,1460
2006,8,4,1363,1372
2007,8,4,1660,1660
2008,7,4,1218,1218
2009,6,4,835,1696
2010,7,4,835,1663
2011,6,3,1175,1175
2012,7,4,1162,1162
2013,6,4,754,1609
2014,6,4,886,1680
2015,7,4,832,1657
2016,6,4,827,1677
2017,7,4,836,1737
2018,5,3,984,984
2019,5,3,864,864
2020,5,3,890,890
2021,5,3,864,864
2022,6,3,1430,1430
2023,5,3,1001,1641
2024,6,4,930,2683
2025,9,4,1848,2786
2026,7,4,1235,1245
2027,6,4,600,1200
2028,7,4,689,1392
2029,6,3,744,1549
2030,9,4,1614,1638
2031,9,4,1310,1310
2032,9,4,1419,1419
2033,9,4,1557,1557
2034,7,4,672,1404
2035,7,3,858,1789
2036,8,4,960,1586
2037,8,4,960,1607
2038,10,5,970,2393
2039,8,4,1230,1239
2040,9,4,994,2944
2041,8,5,1426,1671
2042,7,4,952,1812
2043,6,3,1427,1427
2044,6,3,1740,1740
2045,7,3,1620,1620
2046,5,3,1625,1625
2047,5,3,732,1464
2048,5,4,912,925
2049,5,3,1728,1728
2050,7,3,825,1670
2051,5,3,0,1014
2052,5,3,1114,1114
2053,5,3,1118,1118
2054,4,3,348,906
2055,5,2,1296,1496
2056,5,3,572,1337
2057,5,3,1036,1036
2058,6,4,1104,1988
2059,5,3,1176,1176
2060,5,3,1248,1440
2061,6,3,1395,1570
2062,5,3,1104,1104
2063,5,3,720,882
2064,5,3,1152,1152
2065,5,3,984,950
2066,6,3,998,1790
2067,5,3,0,1764
2068,5,3,1824,1824
2069,4,3,0,869
2070,5,3,747,1159
2071,4,4,672,672
2072,5,3,892,1436
2073,5,3,912,1044
2074,7,3,1312,1312
2075,6,3,1081,1081
2076,5,3,876,876
2077,5,3,1256,1256
2078,5,3,1027,1027
2079,6,3,768,1320
2080,6,3,936,984
2081,6,3,854,1278
2082,5,3,1800,1800
2083,5,3,768,1588
2084,5,3,825,825
2085,5,3,1117,1117
2086,6,3,192,1133
2087,5,3,780,1323
2088,5,3,680,1360
2089,5,3,672,672
2090,6,4,728,1456
2091,4,3,828,1594
2092,4,3,801,1656
2093,5,2,936,1740
2094,7,4,931,1027
2095,6,3,884,1436
2096,5,3,481,899
2097,5,3,684,1080
2098,5,3,904,1499
2099,2,3,407,407
2100,3,3,448,1588
2101,5,3,797,1627
2102,7,3,624,1450
2103,5,3,346,1017
2104,5,3,973,2350
2105,5,4,572,1540
2106,2,2,723,1086
2107,7,3,1313,2495
2108,5,3,984,984
2109,4,3,869,1093
2110,5,4,1008,1143
2111,7,3,672,1668
2112,5,3,1024,1738
2113,5,3,672,1210
2114,6,3,554,1290
2115,6,3,981,1672
2116,5,3,949,949
2117,6,3,825,1497
2118,6,3,739,1342
2119,6,3,992,1013
2120,5,3,565,1216
2121,4,3,0,896
2122,4,3,704,1136
2123,5,3,0,808
2124,7,3,989,2009
2125,5,3,1100,1902
2126,6,3,810,1716
2127,6,3,1242,1984
2128,6,4,796,1609
2129,6,4,768,768
2130,6,3,768,1536
2131,6,3,1272,1969
2132,5,3,880,1308
2133,6,3,1040,1040
2134,6,3,768,1236
2135,5,3,451,759
2136,3,2,536,1344
2137,5,4,1046,1054
2138,5,3,981,1075
2139,6,3,1008,1096
2140,5,3,992,992
2141,6,3,450,1034
2142,5,3,1073,1073
2143,5,3,1060,1126
2144,5,3,1300,1140
2145,5,3,960,960
2146,6,3,988,1188
2147,5,3,988,1721
2148,5,3,576,1350
2149,5,3,864,904
2150,7,3,1524,1524
2151,7,3,570,1079
2152,5,3,1580,1518
2153,5,3,1509,1509
2154,5,3,864,864
2155,6,4,621,1269
2156,6,4,1077,2814
2157,7,4,1602,1626
2158,7,4,812,2200
2159,7,4,672,2037
2160,7,4,628,1356
2161,8,4,1615,1615
2162,9,4,2271,2276
2163,9,5,1751,1766
2164,8,4,1401,1511
2165,6,3,1182,1643
2166,5,3,990,990
2167,7,3,1418,1418
2168,6,3,864,1771
2169,7,4,782,1652
2170,7,4,928,1823
2171,5,3,864,1174
2172,5,3,1076,1076
2173,5,3,864,1558
2174,7,4,1257,2161
2175,9,4,1357,1947
2176,8,4,1778,1786
2177,7,4,1129,2327
2178,8,4,850,1764
2179,6,4,848,848
2180,6,3,1838,1838
2181,7,4,1445,1445
2182,7,4,1564,1564
2183,7,4,1351,1361
2184,5,3,1092,1092
2185,5,3,456,1033
2186,6,3,1127,1127
2187,6,3,1029,1117
